class,metric,value,city
Trees,ed,15.462,Lisbon
Grass,ed,13.691,Lisbon
Flooded vegetation,ed,13.709,Lisbon
Crops,ed,18.589,Lisbon
Shrub and scrub,ed,23.308,Lisbon
Built,ed,25.086,Lisbon
Bare,ed,3.888,Lisbon
Snow and ice,ed,0.02,Lisbon
Water,pland,0.893,Lisbon
Trees,pland,11.166,Lisbon
Grass,pland,0.81,Lisbon
Flooded vegetation,pland,0.38,Lisbon
Crops,pland,1.829,Lisbon
Shrub and scrub,pland,1.605,Lisbon
Built,pland,81.781,Lisbon
Bare,pland,1.537,Lisbon
Snow and ice,pland,0.001,Lisbon
Water,ed,6.052,Berlin
Trees,ed,24.839,Berlin
Grass,ed,19.934,Berlin
Flooded vegetation,ed,18.567,Berlin
Crops,ed,19.743,Berlin
Shrub and scrub,ed,23.581,Berlin
Built,ed,22.384,Berlin
Bare,ed,0.477,Berlin
Snow and ice,ed,0.011,Berlin
Water,pland,5.643,Berlin
Trees,pland,27.17,Berlin
Grass,pland,2.305,Berlin
Flooded vegetation,pland,0.463,Berlin
Crops,pland,3.222,Berlin
Shrub and scrub,pland,0.734,Berlin
Built,pland,60.359,Berlin
Bare,pland,0.104,Berlin
Snow and ice,pland,0.001,Berlin
Water,ed,3.533,London
Trees,ed,32.777,London
Grass,ed,37.131,London
Flooded vegetation,ed,27.781,London
Crops,ed,27.539,London
Shrub and scrub,ed,24.303,London
Built,ed,26.668,London
Bare,ed,0.876,London
Snow and ice,ed,0.079,London
Water,pland,2.341,London
Trees,pland,14.782,London
Grass,pland,8.036,London
Flooded vegetation,pland,0.728,London
Crops,pland,5.053,London
Shrub and scrub,pland,0.682,London
Built,pland,68.144,London
Bare,pland,0.219,London
Snow and ice,pland,0.014,London
Water,ed,1.512,Madrid
Trees,ed,31.859,Madrid
Grass,ed,27.696,Madrid
Flooded vegetation,ed,27.584,Madrid
Crops,ed,41.198,Madrid
Shrub and scrub,ed,53.196,Madrid
Built,ed,32.138,Madrid
Bare,ed,15.556,Madrid
Snow and ice,ed,0.032,Madrid
Water,pland,0.522,Madrid
Trees,pland,20.622,Madrid
Grass,pland,1.287,Madrid
Flooded vegetation,pland,0.759,Madrid
Crops,pland,4.899,Madrid
Shrub and scrub,pland,20.634,Madrid
Built,pland,42.838,Madrid
Bare,pland,8.432,Madrid
Snow and ice,pland,0.006,Madrid
Water,ed,5.642,Paris
Trees,ed,16.262,Paris
Grass,ed,14.166,Paris
Flooded vegetation,ed,12.914,Paris
Crops,ed,14.969,Paris
Shrub and scrub,ed,16.689,Paris
Built,ed,19.834,Paris
Bare,ed,1.673,Paris
Snow and ice,ed,0.016,Paris
Water,pland,2.095,Paris
Trees,pland,11.919,Paris
Grass,pland,1.66,Paris
Flooded vegetation,pland,0.336,Paris
Crops,pland,2.719,Paris
Shrub and scrub,pland,0.498,Paris
Built,pland,80.344,Paris
Bare,pland,0.428,Paris
Snow and ice,pland,0.001,Paris
Water,ed,4.398,Prague
Trees,ed,30.823,Prague
Grass,ed,29.377,Prague
Flooded vegetation,ed,27.747,Prague
Crops,ed,33.456,Prague
Shrub and scrub,ed,32.943,Prague
Built,ed,29.713,Prague
Bare,ed,0.608,Prague
Snow and ice,ed,0.008,Prague
Water,pland,1.812,Prague
Trees,pland,19.562,Prague
Grass,pland,3.903,Prague
Flooded vegetation,pland,0.74,Prague
Crops,pland,24.065,Prague
Shrub and scrub,pland,1.13,Prague
Built,pland,48.678,Prague
Bare,pland,0.108,Prague
Snow and ice,pland,0.001,Prague
Water,ed,2.153,Lima
Trees,ed,1.729,Lima
Grass,ed,1.829,Lima
Flooded vegetation,ed,1.849,Lima
Crops,ed,4.163,Lima
Shrub and scrub,ed,6.027,Lima
Built,ed,14.654,Lima
Bare,ed,11.653,Lima
Snow and ice,ed,0.001,Lima
Water,pland,0.839,Lima
Trees,pland,0.13,Lima
Grass,pland,0.145,Lima
Flooded vegetation,pland,0.078,Lima
Crops,pland,1.323,Lima
Shrub and scrub,pland,0.442,Lima
Built,pland,17.066,Lima
Bare,pland,79.977,Lima
Snow and ice,pland,0,Lima
Water,ed,0.225,Quito
Trees,ed,29.184,Quito
Grass,ed,36.524,Quito
Flooded vegetation,ed,29.893,Quito
Crops,ed,32.241,Quito
Shrub and scrub,ed,30.873,Quito
Built,ed,19.384,Quito
Bare,ed,0.772,Quito
Snow and ice,ed,0.252,Quito
Water,pland,0.028,Quito
Trees,pland,24.068,Quito
Grass,pland,11.897,Quito
Flooded vegetation,pland,1.073,Quito
Crops,pland,3.337,Quito
Shrub and scrub,pland,7.235,Quito
Built,pland,52.217,Quito
Bare,pland,0.121,Quito
Snow and ice,pland,0.025,Quito
Water,ed,0.847,Santiago
Trees,ed,13.746,Santiago
Grass,ed,12.516,Santiago
Flooded vegetation,ed,12.995,Santiago
Crops,ed,30.075,Santiago
Shrub and scrub,ed,37.347,Santiago
Built,ed,20.795,Santiago
Bare,ed,7.389,Santiago
Snow and ice,ed,0.019,Santiago
Water,pland,0.186,Santiago
Trees,pland,5.262,Santiago
Grass,pland,0.639,Santiago
Flooded vegetation,pland,0.353,Santiago
Crops,pland,13.868,Santiago
Shrub and scrub,pland,18.778,Santiago
Built,pland,55.642,Santiago
