term,Mean,SD,2.5%,50%,97.5%,Rhat,ESS,species_city
sigma.sq,5.299942346,2.838641529,0.476233054,5.412111371,9.768167505,1.048701339,106.9366338,American_Kestrel_Boston
phi,0.555561582,0.256271433,0.052215448,0.591702041,0.923628676,1.076588015,103.8048938,American_Kestrel_Boston
sigma.sq.t,0.378667394,0.400160041,0.08746819,0.268980137,1.329336015,1.011836613,2539.726794,American_Kestrel_Boston
rho,0.028362639,0.380250675,-0.699444414,0.035860668,0.725333353,1.002665875,6576.372509,American_Kestrel_Boston
sigma.sq,2.1628477734489784,1.2550145882559358,0.48421416881012647,1.898002504761932,5.281176355572926,1.0270025218427232,282.4224364014938,American_Kestrel_BuenosAires
phi,0.5851622312657787,0.24152724807586173,0.13508553559687453,0.6026615928205183,0.9613840724451216,1.0963835042436456,214.56749894801223,American_Kestrel_BuenosAires
sigma.sq.t,0.2921687120924669,0.23384675669248575,0.08070737214548897,0.22794149654042264,0.8785089808340605,1.0007151482854502,5324.0560190198885,American_Kestrel_BuenosAires
rho,0.08744523526724546,0.3800184182521053,-0.6588942084422261,0.11091015793381633,0.7465086470778978,1.002277741863562,4641.523447193007,American_Kestrel_BuenosAires
sigma.sq,5.452637487971666,2.598235381128069,0.6984450145462826,5.468598612149213,9.73217067490501,1.017804817767916,390.3488280517243,American_Kestrel_Calgary
phi,0.4925323033592792,0.23493027437445785,0.06921874428270154,0.4961426656576702,0.8775245478701947,1.024732231060808,802.7990676908669,American_Kestrel_Calgary
sigma.sq.t,0.49272934943725377,0.6801858382643272,0.09072604578756706,0.30945773161660656,2.040203261060742,1.027583078667676,1590.188277675323,American_Kestrel_Calgary
rho,0.02965932181924612,0.3675189731535212,-0.6676960873079623,0.03507038462016332,0.7121246296235969,1.0016717918495768,7522.988315540361,American_Kestrel_Calgary
sigma.sq,3.737629979,1.964186238,0.836918309,3.321800986,8.355771253,1.01496304,184.8678989,American_Kestrel_Chicago
phi,0.715717373,0.152368881,0.371298606,0.741091535,0.928228911,1.039350337,387.3856745,American_Kestrel_Chicago
sigma.sq.t,0.268034865,0.223116738,0.076801729,0.210044711,0.799748209,1.007529054,6137.882913,American_Kestrel_Chicago
rho,0.116365605,0.386073707,-0.667619616,0.142206286,0.770717565,1.000430845,7908.361666,American_Kestrel_Chicago
sigma.sq,2.3845716367258736,1.075146724129141,0.8886122046716322,2.193308444915389,5.055298673678121,1.005166033787868,393.0270198359408,American_Kestrel_Columbus
phi,0.7132412911542182,0.16582688537847923,0.3467816318366693,0.7396428134898372,0.9393121962105744,1.0150792125068724,593.1319644733105,American_Kestrel_Columbus
sigma.sq.t,0.2554453631533404,0.2230333477442448,0.0745542081746752,0.19751002439929383,0.7744414019412831,1.0018342367171331,1541.74757823682,American_Kestrel_Columbus
rho,0.15420885303516296,0.4048662146182648,-0.6628248533849747,0.18624601226990825,0.8211676554408752,1.0043942015990557,3469.750532255077,American_Kestrel_Columbus
sigma.sq,3.0032257641313023,0.6654481305101524,1.9245757944880644,2.9279235571911615,4.467923786262927,1.0096426346907188,673.0493432816285,American_Kestrel_Dallas
phi,0.8288178721748173,0.103880833008019,0.5765801892147602,0.852946436245291,0.9548648447828012,1.02708105037166,309.5506230319509,American_Kestrel_Dallas
sigma.sq.t,0.22699529037354055,0.16406775610429938,0.07355027518869117,0.18343370010409024,0.6233372901434587,1.0025852139227198,3942.629919180664,American_Kestrel_Dallas
rho,0.2110379454773898,0.3892902899487506,-0.6126336703586156,0.2538176967861886,0.8248608623550407,1.0002743910036969,2799.6297337435553,American_Kestrel_Dallas
sigma.sq,2.221586866651669,0.4907762165206015,1.4070181282544796,2.1738435190527605,3.3224457769755773,1.004127123082737,1412.84232548485,American_Kestrel_Denver
phi,0.6733280680371929,0.16125953091467565,0.3632681533838734,0.6785640207190693,0.9212086509044418,1.0352996241314405,431.79458134866746,American_Kestrel_Denver
sigma.sq.t,0.19959542438510264,0.18676497964866237,0.06484225971793425,0.15816511567728594,0.5688281990967942,1.1351110046971198,365.50043036813065,American_Kestrel_Denver
rho,0.2085810615099989,0.434837983468287,-0.6926543703634273,0.25411514020315873,0.8801799028888739,1.0047552603413168,2524.5737576202737,American_Kestrel_Denver
sigma.sq,3.0592059561816436,0.7605670228844593,1.797468714199898,2.967562650644233,4.770767174441488,1.0013598744565906,515.0758376850835,American_Kestrel_Houston
phi,0.7791974342535428,0.11805647282994795,0.5017057984735679,0.8028240282112202,0.9315505624681404,1.044978960782664,373.5246901804399,American_Kestrel_Houston
sigma.sq.t,0.29079416160730975,0.23236688000548317,0.08531684784944797,0.2285866996636844,0.8739864261394882,1.0144689564828626,1149.051263772854,American_Kestrel_Houston
rho,0.1844981669562256,0.3636099855758667,-0.5765208207947075,0.2145221161233457,0.7916236530406783,1.0076037246554048,1613.5539435857763,American_Kestrel_Houston
sigma.sq,2.4083372422790155,0.8527754397422084,1.1086781634825762,2.2790009646762988,4.40947399645262,1.0415639570475592,338.91861477610615,American_Kestrel_Indianapolis
