term,Mean,SD,2.5%,50%,97.5%,Rhat,ESS,species_city
GRASS,0.821556596,0.697085334,-0.302960801,0.727602556,2.4450931910000002,1.013709872,504.3075139,American_Kestrel_Boston
TREES,1.547116441,0.807630199,0.116030228,1.493294821,3.282649815,1.006683134,1201.743707,American_Kestrel_Boston
URBAN,1.189548384,0.797057108,-0.302516739,1.155037334,2.86538637,1.002701241,1282.477586,American_Kestrel_Boston
SHRUB,0.637750993,0.634135106,-0.269877816,0.505764539,2.24675927,1.014301162,483.9695094,American_Kestrel_Boston
CROPS,-0.23010388,0.907907378,-1.884242083,-0.292686972,1.879007929,1.00847851,423.2342227,American_Kestrel_Boston
GRASS,0.39858467228303707,0.38387668429421423,-0.28003153299728273,0.3737883379078558,1.2336488292611736,1.00033018842425,2018.7198388987244,American_Kestrel_BuenosAires
TREES,-0.7136758385404959,0.4056959237072173,-1.5707775547360845,-0.6935569253309906,0.03917830069222877,1.0023451064576745,2690.2321565246007,American_Kestrel_BuenosAires
URBAN,-0.26812613651863454,0.4331290495470945,-1.1549968950261222,-0.2598137479899925,0.5614564640645435,1.000322885790269,2528.7978784715037,American_Kestrel_BuenosAires
SHRUB,0.4981885197537352,0.34537549060096717,-0.07903650914429226,0.463611799198616,1.25755811358053,1.008654677671479,2364.899354315269,American_Kestrel_BuenosAires
CROPS,0.43866388478623,0.3121092766154738,-0.06301068662999194,0.4001530762646637,1.1682294661502437,1.0015367402976552,1709.6870994833068,American_Kestrel_BuenosAires
GRASS,1.5649168436347018,0.8749929140369308,0.02807446925970348,1.4968649160206997,3.458157297559126,1.02132424831267,713.8224293817467,American_Kestrel_Calgary
TREES,0.1628675137822175,0.7357427650117923,-1.1128192260368277,0.0989320608229252,1.857466300563034,1.0821061743113654,744.4669500660364,American_Kestrel_Calgary
URBAN,-1.8037466008906415,1.0281448409765053,-4.036387074581761,-1.7321016294296938,0.01206217328973629,1.0214231800573317,847.5120649558457,American_Kestrel_Calgary
SHRUB,0.22793530154045016,0.9134734508164752,-1.1868415222050717,0.08223061135782486,2.4847881435897694,1.0035862578697448,375.77530657876406,American_Kestrel_Calgary
CROPS,-1.44516021534464,1.2062525799012889,-3.8323230778865702,-1.4446653706902126,0.9858161075965306,1.0134595268609838,685.515882374688,American_Kestrel_Calgary
GRASS,0.171985831,0.239653374,-0.283118213,0.16525879500000001,0.665440262,1.003091035,3692.479567,American_Kestrel_Chicago
TREES,-1.789469771,0.47895794,-2.837438628,-1.748018403,-0.968598265,1.02114363,1927.086336,American_Kestrel_Chicago
URBAN,-1.42049739,0.602084544,-2.730155484,-1.373245397,-0.361187931,1.004973854,2763.754282,American_Kestrel_Chicago
SHRUB,0.251851506,0.321119123,-0.310925771,0.228071711,0.97812476,1.02551332,2039.237554,American_Kestrel_Chicago
CROPS,-0.682863468,0.380393935,-1.464751315,-0.670426614,0.027318487,1.005626454,2967.833391,American_Kestrel_Chicago
GRASS,0.9174095236124532,0.25113056216539387,0.45734205762117663,0.9043550492279342,1.4444381017207009,1.002259032360488,2374.0954315660806,American_Kestrel_Columbus
TREES,0.16206812844797347,0.485296050068631,-0.7760891021878698,0.1454551113498758,1.1566591220942566,1.000290140333588,2786.3738395456917,American_Kestrel_Columbus
URBAN,-0.47728098303129207,0.6624617123462437,-1.746077074143919,-0.4983123476074904,0.900580083282361,1.0020179903477702,2822.024107127825,American_Kestrel_Columbus
SHRUB,0.5002522145714914,0.2496526709535847,0.06109946295722045,0.4905732764386922,1.0074334666022315,1.0023172671728784,1078.322655891135,American_Kestrel_Columbus
CROPS,0.12250415965517232,0.3262877461220509,-0.5060873856295726,0.11589238909546729,0.7923114918313501,1.0001476334976502,2987.661720511107,American_Kestrel_Columbus
GRASS,0.34269296134949095,0.13698609792867786,0.07553534938279563,0.3417148859225106,0.614381411023329,1.0042037300298017,2900.776205715311,American_Kestrel_Dallas
TREES,-0.43787721672264646,0.1461371463513402,-0.7310657079164876,-0.43613891234032987,-0.15608745386195694,1.0036077281593154,3405.946158163623,American_Kestrel_Dallas
URBAN,-1.219146618794305,0.2035488803237484,-1.637466808879494,-1.2106910423705548,-0.841736831923497,1.0072264291348607,1890.08656659126,American_Kestrel_Dallas
SHRUB,0.11145378924655168,0.14655936774419084,-0.17172781136997514,0.10897483937957968,0.3989502703081882,1.0063979968003198,2709.9923102503217,American_Kestrel_Dallas
CROPS,0.3823544789814267,0.1905816479863008,0.04550815911256593,0.3695740073969744,0.8023102629693132,1.0127282609130768,1542.1325085199578,American_Kestrel_Dallas
GRASS,-0.04612013763694139,0.09611536400179328,-0.23427677711042105,-0.04632960717407049,0.14374511124054046,1.0028239896312063,4296.065998441597,American_Kestrel_Denver
TREES,0.1076396478154711,0.10982621439951476,-0.10557379646216894,0.1064248849371475,0.33186862442743215,1.0047066460535554,4335.853202297204,American_Kestrel_Denver
URBAN,-0.9240557448426516,0.24005462817565557,-1.4053767772358736,-0.9202788723103972,-0.46041211060488546,1.0020338752276323,3953.901052934285,American_Kestrel_Denver
SHRUB,-0.5460170706411591,0.16383977020952348,-0.8709725122002802,-0.5449863690334602,-0.22816461733120097,1.0032113922812873,3416.6668090994563,American_Kestrel_Denver
CROPS,0.2963575793291217,0.20210861620969411,-0.0940840510209948,0.2957659896769982,0.6957925932176822,1.0050280822660098,2353.071390907539,American_Kestrel_Denver
GRASS,0.0312082749972275,0.13204809457417485,-0.2270704245275745,0.03082402607713706,0.2897438038581713,1.0009478077256964,3079.9612126271322,American_Kestrel_Houston
